dataset, median, 90th, 95th, 99th, max, mean, mse, mape, pccs, , query_dur_ms
cols_8_distinct_100_corr_8_skew_8, 1.1666666666666667, 2.0, 2.5049999999999955, 4.0, 6.0, 1.4164695498930169, 143.081, 34.02135758136156, (0.9999934468690577, 0.0), 10.719666957855225
cols_8_distinct_1000_corr_2_skew_2, 1.0336158192090394, 2.0, 2.0, 3.009999999999991, 5.0, 1.3105884686056475, 272.876, 22.54030771034031, (0.9998844475006996, 0.0), 21.803165912628174
cols_8_distinct_1000_corr_2_skew_4, 1.049604294707242, 2.0, 2.0, 3.0, 5.0, 1.3423363725287691, 768.917, 25.92167302540106, (0.9998124288691307, 0.0), 21.69608736038208
cols_8_distinct_1000_corr_2_skew_6, 1.0594117647058825, 2.0, 2.0, 3.0, 6.0, 1.3522088678547426, 1198.899, 27.600996339343283, (0.9998149470526047, 0.0), 21.74446392059326
cols_8_distinct_1000_corr_2_skew_8, 1.0762061403508771, 2.0, 2.3416666666666592, 3.5049999999999955, 6.0, 1.3731563384062442, 296.469, 31.221809632905156, (0.9992222651454697, 0.0), 21.90491271018982
cols_8_distinct_1000_corr_4_skew_2, 1.0459697249116338, 2.0, 2.1666666666666665, 3.009999999999991, 5.0, 1.3240623428110667, 1087.255, 23.49793196090534, (0.9998370028324886, 0.0), 21.851627111434937
cols_8_distinct_1000_corr_4_skew_4, 1.0479552252840973, 2.0, 2.0, 3.0049999999999955, 7.0, 1.313762628195354, 1442.471, 23.54987194686466, (0.9998699107709047, 0.0), 21.5042986869812
cols_8_distinct_1000_corr_4_skew_6, 1.0773950857122299, 2.0, 2.036706349206348, 3.0, 7.0, 1.3554423792247199, 5133.216, 27.559918863980194, (0.9997020205993447, 0.0), 21.760547876358032
cols_8_distinct_1000_corr_4_skew_8, 1.091015293118097, 2.0, 3.0, 4.0, 6.0, 1.414001803276298, 1161.048, 32.87331853816412, (0.9996832941245213, 0.0), 22.154545783996582
cols_8_distinct_1000_corr_6_skew_2, 1.05, 2.0, 2.0, 3.0, 6.0, 1.3071283723247902, 1878.194, 23.286991652660145, (0.9997922201296614, 0.0), 21.849376678466797
cols_8_distinct_1000_corr_6_skew_4, 1.0656024022551782, 2.0, 3.0, 4.0, 12.0, 1.3866717126133687, 834.842, 29.809650291625157, (0.9993624633873671, 0.0), 21.807018041610718
